PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV,STL_TOV,EFG_PCT,TS_PCT,GP_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,TOV_RANK,PF_RANK,PTS_RANK,AST_TOV_RANK,STL_TOV_RANK,EFG_PCT1,TS_PCT1
600015,Oscar Robertson,1040,43886.0,9508,19620,0.485,,,,7694,9185,0.838,71.0,208.0,7804.0,9887,77.0,4.0,,2931,26710,,,0.485,0.564,131,23,21,22,881,3789,3789,3789,6,10,517,2222,2113,85,9,1961,2973,3891,88,16,3891,3891,1717,685
1122,Dominique Wilkins,1074,38115.0,9963,21589,0.461,711.0,2231.0,0.319,6031,7438,0.811,2950.0,4219.0,7169.0,2677,1378.0,642.0,2669.0,2061,26668,1.003,0.516,0.478,0.536,105,52,17,13,1392,310,255,1401,24,30,844,34,149,111,302,68,211,46,389,17,2333,1911,1915,1321
1495,Tim Duncan,1392,47367.0,10285,20334,0.506,30.0,168.0,0.179,5896,8468,0.696,3859.0,11232.0,15091.0,4225,1025.0,3020.0,3381.0,3304,26496,1.25,0.303,0.507,0.551,11,12,15,18,524,1488,1312,2463,26,16,2867,12,3,6,111,173,5,17,44,18,1867,3151,1118,943
1718,Paul Pierce,1343,45879.0,8668,19465,0.445,2143.0,5816.0,0.368,6918,8578,0.806,1092.0,6435.0,7527.0,4708,1752.0,745.0,3532.0,3643,26397,1.333,0.496,0.5,0.568,17,17,29,23,1846,16,13,538,11,14,906,374,45,95,84,23,176,13,22,19,1721,2096,1264,619
76970,John Havlicek,1270,46471.0,10513,23930,0.439,,,,5369,6589,0.815,610.0,1389.0,8007.0,6114,476.0,117.0,204.0,3281,26395,1.608,0.441,0.439,0.492,33,14,13,7,2043,3789,3789,3789,32,36,780,725,882,83,40,682,1137,1652,48,20,1257,2401,2913,2624
201939,Stephen Curry,1057,35967.0,8933,18967,0.471,4201.0,9958.0,0.422,4190,4594,0.912,683.0,4254.0,4937.0,6691,1589.0,279.0,3275.0,2373,26257,2.043,0.485,0.582,0.626,116,72,26,29,1141,1,1,134,73,108,166,652,147,294,28,39,568,22,257,21,683,2151,218,143
201942,DeMar DeRozan,1228,42603.0,9346,19870,0.47,647.0,2136.0,0.303,6738,7993,0.843,857.0,4489.0,5346.0,5029,1229.0,403.0,2422.0,2742,26077,2.076,0.507,0.487,0.558,43,25,23,21,1161,347,279,1600,13,24,472,520,128,249,75,88,372,74,132,22,656,1960,1653,801
708,Kevin Garnett,1462,50412.0,10505,21142,0.497,174.0,632.0,0.275,4887,6190,0.789,3209.0,11453.0,14662.0,5445,1859.0,2037.0,3179.0,3561,26071,1.713,0.585,0.501,0.546,8,5,14,15,697,846,752,1866,43,42,1198,25,1,9,57,19,19,26,27,23,1096,1494,1252,1041
1713,Vince Carter,1541,46370.0,9293,21339,0.435,2290.0,6168.0,0.371,4852,6082,0.798,1658.0,4948.0,6606.0,4714,1530.0,888.0,2590.0,3995,25728,1.82,0.591,0.489,0.536,4,15,24,14,2166,10,10,493,45,45,1059,182,102,152,82,48,130,51,14,24,957,1463,1589,1335
76673,Alex English,1193,38063.0,10659,21036,0.507,18.0,83.0,0.217,4277,5141,0.832,2778.0,3760.0,6538.0,4351,1067.0,833.0,2821.0,3027,25613,1.533,0.372,0.507,0.55,53,55,12,16,507,1677,1595,2275,70,81,589,38,197,157,103,153,149,36,75,25,1377,2797,1099,968
397,Reggie Miller,1389,47620.0,8241,17499,0.471,2560.0,6486.0,0.395,6237,7026,0.888,883.0,3299.0,4182.0,4141,1505.0,299.0,2409.0,2730,25279,1.719,0.625,0.544,0.614,13,11,39,37,1142,7,7,237,19,34,215,511,255,392,121,54,529,79,135,26,1085,1290,490,192
78497,Jerry West,932,36571.0,9016,19032,0.474,,,,7160,8801,0.814,30.0,86.0,5376.0,6238,81.0,23.0,,2435,25192,,,0.474,0.55,227,67,25,28,1078,3789,3789,3789,10,11,801,2686,2578,246,37,1935,2164,3891,234,27,3891,3891,2006,962
121,Patrick Ewing,1183,40594.0,9702,19241,0.504,19.0,125.0,0.152,5392,7289,0.74,2752.0,8855.0,11607.0,2215,1136.0,2894.0,3537.0,4034,24815,0.626,0.321,0.505,0.553,55,37,18,26,543,1653,1422,2571,31,33,2153,41,12,26,405,124,7,12,13,28,3160,3083,1164,901
951,Ray Allen,1300,46350.0,8567,18955,0.452,2973.0,7429.0,0.4,4398,4920,0.894,1230.0,4042.0,5272.0,4361,1451.0,244.0,2709.0,2858,24505,1.61,0.536,0.53,0.58,24,16,31,30,1653,3,4,195,64,92,197,320,160,257,102,59,657,44,106,29,1254,1798,657,441
947,Allen Iverson,914,37582.0,8467,19906,0.425,1059.0,3383.0,0.313,6375,8168,0.78,745.0,2649.0,3394.0,5624,1983.0,164.0,3262.0,1777,24368,1.724,0.608,0.452,0.518,254,59,33,20,2478,154,99,1477,16,20,1342,595,377,532,54,15,914,23,558,30,1078,1371,2609,1842
787,Charles Barkley,1073,39331.0,8435,15605,0.541,538.0,2020.0,0.266,6349,8643,0.735,4260.0,8286.0,12546.0,4215,1648.0,888.0,3376.0,3287,23757,1.249,0.488,0.558,0.612,106,45,36,61,269,418,301,1933,17,13,2245,5,15,19,112,28,130,18,45,31,1884,2140,353,197
305,Robert Parish,1611,45704.0,9614,17914,0.537,0.0,6.0,0.0,4106,5694,0.721,4598.0,10117.0,14715.0,2180,1219.0,2361.0,3183.0,4443,23334,0.662,0.366,0.537,0.571,1,19,20,33,292,2828,2715,2828,76,58,2457,2,5,8,420,94,10,25,3,32,3099,2835,571,564
76504,Adrian Dantley,955,34151.0,8169,15121,0.54,7.0,41.0,0.171,6832,8351,0.818,2207.0,3248.0,5455.0,2830,944.0,150.0,2503.0,2550,23177,1.073,0.341,0.54,0.617,207,95,40,69,271,2025,1906,2489,12,17,750,75,266,242,275,213,972,62,194,33,2200,2961,525,176
2548,Dwyane Wade,1054,35777.0,8454,17617,0.48,549.0,1874.0,0.293,5708,7463,0.765,1258.0,3675.0,4933.0,5701,1620.0,885.0,3326.0,2328,23165,1.714,0.487,0.495,0.554,119,76,34,36,969,411,332,1716,28,29,1653,311,207,295,49,33,133,19,273,34,1090,2145,1436,871
76127,Elgin Baylor,846,33863.0,8693,20171,0.431,,,,5763,7391,0.78,,,11463.0,3650,,,,2596,23149,,,0.431,0.494,361,102,28,19,2324,3789,3789,3789,27,31,1358,4093,4093,28,165,4093,4093,3891,175,35,3891,3891,3097,2562
101108,Chris Paul,1370,45837.0,8165,17408,0.469,1870.0,5059.0,0.37,4858,5581,0.87,798.0,5208.0,6006.0,12552,2728.0,222.0,3109.0,3208,23058,4.037,0.877,0.523,0.58,15,18,41,38,1200,27,26,523,44,68,283,555,82,193,2,2,725,29,57,36,36,531,784,438
203081,Damian Lillard,900,32612.0,7266,16568,0.439,2804.0,7556.0,0.371,5262,5853,0.899,534.0,3311.0,3845.0,6069,874.0,267.0,2541.0,1708,22598,2.388,0.344,0.523,0.59,275,119,68,45,2069,4,3,497,35,49,190,838,251,450,41,258,600,57,607,37,422,2948,779,331
17,Clyde Drexler,1086,37538.0,8335,17673,0.472,827.0,2603.0,0.318,4698,5962,0.788,2615.0,4062.0,6677.0,6125,2207.0,719.0,2977.0,3285,22195,2.057,0.741,0.495,0.547,98,60,37,35,1124,251,195,1413,50,47,1216,46,159,141,39,9,184,32,46,38,671,843,1449,1025
56,Gary Payton,1335,47117.0,8708,18698,0.466,1132.0,3570.0,0.317,3265,4480,0.729,1392.0,3877.0,5269.0,8966,2445.0,285.0,3030.0,3217,21813,2.959,0.807,0.496,0.528,18,13,27,32,1288,129,83,1420,143,117,2338,265,183,258,11,5,557,31,55,39,172,691,1427,1592
1449,Larry Bird,897,34443.0,8591,17334,0.496,649.0,1727.0,0.376,3960,4471,0.886,1757.0,7217.0,8974.0,5695,1556.0,755.0,2816.0,2279,21791,2.022,0.553,0.514,0.564,277,91,30,39,713,344,362,416,84,119,219,159,29,59,50,43,169,37,294,40,704,1698,938,682
76882,Hal Greer,1122,39788.0,8504,18811,0.452,,,,4578,5717,0.801,,,5665.0,4540,,,,3855,21586,,,0.452,0.506,77,42,32,31,1648,3789,3789,3789,56,57,974,4093,4093,222,92,4093,4093,3891,18,41,3891,3891,2604,2214
203507,Giannis Antetokounmpo,885,28995.0,7813,14112,0.554,556.0,1944.0,0.286,5112,7389,0.692,1675.0,7107.0,8782.0,4435,984.0,1085.0,2673.0,2602,21294,1.659,0.368,0.573,0.613,297,189,49,96,212,403,314,1776,38,32,2949,178,31,63,97,193,92,45,171,42,1187,2817,254,194
76144,Walt Bellamy,1043,38940.0,7914,15340,0.516,,,,5113,8088,0.632,264.0,481.0,14241.0,2544,52.0,48.0,,3536,20941,,,0.516,0.554,128,48,46,66,422,3789,3789,3789,37,22,3672,1369,1652,12,327,2193,1724,3891,29,43,3891,3891,905,876
2200,Pau Gasol,1226,41001.0,7980,15729,0.507,179.0,486.0,0.368,4755,6311,0.753,3085.0,8220.0,11305.0,3925,606.0,1941.0,2638.0,2632,20894,1.488,0.23,0.513,0.565,44,35,45,59,500,839,877,541,47,38,1862,28,18,29,135,488,22,49,160,44,1460,3400,968,681
77847,Bob Pettit,792,30690.0,7349,16872,0.436,,,,6182,8119,0.761,,,12849.0,2369,,,,2529,20880,,,0.436,0.511,464,151,63,42,2164,3789,3789,3789,20,21,1722,4093,4093,18,372,4093,4093,3891,201,45,3891,3891,3000,2089
764,David Robinson,987,34273.0,7365,14221,0.518,25.0,100.0,0.25,6035,8201,0.736,3083.0,7414.0,10497.0,2441,1388.0,2954.0,2417.0,2835,20790,1.01,0.574,0.519,0.583,164,94,62,93,402,1552,1522,2017,23,19,2224,29,24,36,352,67,6,76,111,46,2323,1551,852,407
76804,George Gervin,791,26536.0,8045,15747,0.511,77.0,259.0,0.297,4541,5383,0.844,1186.0,2421.0,3607.0,2214,941.0,670.0,2137.0,2331,20708,0.925,0.391,0.513,0.572,468,259,43,58,462,1155,1140,1670,58,74,465,334,428,486,407,215,199,112,269,47,2578,2705,959,559
200746,LaMarcus Aldridge,1076,36243.0,8311,16872,0.493,227.0,710.0,0.32,3709,4563,0.813,2776.0,5960.0,8736.0,2076,758.0,1187.0,1643.0,2598,20558,1.264,0.461,0.499,0.544,104,71,38,42,757,732,714,1391,98,111,806,40,51,64,453,341,67,232,174,48,1836,2287,1350,1081
782,Mitch Richmond,976,34301.0,7305,16038,0.455,1326.0,3417.0,0.388,4561,5365,0.85,881.0,2920.0,3801.0,3398,1211.0,254.0,2579.0,2503,20497,1.318,0.47,0.497,0.557,181,92,65,51,1564,77,94,282,57,75,408,513,324,455,191,96,627,54,212,49,1745,2233,1409,813
2207,Joe Johnson,1277,44235.0,7823,17720,0.441,1978.0,5331.0,0.371,2783,3468,0.802,1067.0,3992.0,5059.0,5001,1071.0,260.0,2451.0,2252,20407,2.04,0.437,0.497,0.53,31,21,48,34,1977,21,21,498,210,233,961,382,170,282,76,152,615,71,310,50,689,2424,1394,1522
1472,Tom Chambers,1107,33921.0,7378,15749,0.468,227.0,740.0,0.307,5066,6274,0.807,1942.0,4761.0,6703.0,2283,885.0,627.0,2549.0,3742,20049,0.896,0.347,0.476,0.542,85,100,61,57,1220,732,697,1555,40,39,890,119,112,137,384,246,222,55,21,51,2650,2938,1959,1166
1712,Antawn Jamison,1083,37638.0,7679,17024,0.451,1163.0,3365.0,0.346,3521,4860,0.724,2557.0,5600.0,8157.0,1761,1048.0,421.0,1714.0,2580,20042,1.027,0.611,0.485,0.523,100,58,53,40,1675,121,101,927,117,93,2399,49,62,75,557,164,351,206,180,52,2288,1353,1691,1718
