PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV,STL_TOV,EFG_PCT,TS_PCT,GP_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,TOV_RANK,PF_RANK,PTS_RANK,AST_TOV_RANK,STL_TOV_RANK,EFG_PCT1,TS_PCT1
76970,John Havlicek,1270,46471.0,10513,23930,0.439,,,,5369,6589,0.815,610.0,1389.0,8007.0,6114,476.0,117.0,204.0,3281,26395,1.608,0.441,0.439,0.492,32,14,13,7,2005,3711,3711,3711,32,36,765,719,869,82,40,678,1114,1633,48,19,1214,2344,2849,2558
201566,Russell Westbrook,1228,40937.0,9386,21387,0.439,1359.0,4440.0,0.306,5952,7705,0.772,1970.0,6670.0,8640.0,9879,1943.0,403.0,4802.0,3141,26083,2.057,0.405,0.471,0.526,41,33,22,12,2027,70,38,1515,24,26,1464,115,40,66,9,17,365,2,63,20,657,2565,2028,1578
708,Kevin Garnett,1462,50412.0,10505,21142,0.497,174.0,632.0,0.275,4887,6190,0.789,3209.0,11453.0,14662.0,5445,1859.0,2037.0,3179.0,3561,26071,1.713,0.585,0.501,0.546,8,5,14,14,686,819,742,1811,41,42,1169,25,1,9,56,19,19,25,27,21,1061,1448,1211,1000
1713,Vince Carter,1541,46370.0,9293,21339,0.435,2290.0,6168.0,0.371,4852,6082,0.798,1658.0,4948.0,6606.0,4714,1530.0,888.0,2590.0,3995,25728,1.82,0.591,0.489,0.536,4,15,23,13,2126,10,9,481,43,44,1039,179,101,150,81,48,129,50,14,22,930,1419,1532,1298
76673,Alex English,1193,38063.0,10659,21036,0.507,18.0,83.0,0.217,4277,5141,0.832,2778.0,3760.0,6538.0,4351,1067.0,833.0,2821.0,3027,25613,1.533,0.372,0.507,0.55,51,55,11,15,497,1624,1550,2207,70,81,579,36,191,155,102,152,149,36,75,23,1333,2729,1060,927
397,Reggie Miller,1389,47620.0,8241,17499,0.471,2560.0,6486.0,0.395,6237,7026,0.888,883.0,3299.0,4182.0,4141,1505.0,299.0,2409.0,2730,25279,1.719,0.625,0.544,0.614,13,11,38,37,1117,6,7,225,19,34,210,504,251,389,120,54,520,78,134,24,1052,1255,458,173
78497,Jerry West,932,36571.0,9016,19032,0.474,,,,7160,8801,0.814,30.0,86.0,5376.0,6238,81.0,23.0,,2435,25192,,,0.474,0.55,224,66,24,27,1053,3711,3711,3711,10,11,785,2643,2539,244,37,1904,2136,3813,232,25,3813,3813,1945,923
201939,Stephen Curry,1016,34654.0,8560,18164,0.471,4010.0,9472.0,0.423,3987,4377,0.911,661.0,4109.0,4770.0,6481,1537.0,261.0,3164.0,2297,25117,2.048,0.486,0.582,0.625,141,86,31,32,1106,1,1,125,81,123,162,665,155,306,29,46,607,26,280,26,663,2084,207,133
201942,DeMar DeRozan,1176,40831.0,8977,19120,0.47,604.0,2004.0,0.301,6489,7703,0.842,827.0,4340.0,5167.0,4807,1168.0,386.0,2366.0,2635,25047,2.032,0.494,0.485,0.556,56,34,25,26,1161,361,289,1557,15,27,465,531,137,267,79,107,383,81,156,27,678,2044,1634,780
121,Patrick Ewing,1183,40594.0,9702,19241,0.504,19.0,125.0,0.152,5392,7289,0.74,2752.0,8855.0,11607.0,2215,1136.0,2894.0,3537.0,4034,24815,0.626,0.321,0.505,0.553,52,36,18,24,537,1600,1385,2504,31,32,2103,40,12,26,400,123,7,12,13,28,3089,3012,1126,862
